id,correct_resp,resp,correct,rt
1,1,1,1,6.797
1,2,2,1,2.281
1,2,2,1,1.203
1,2,2,1,2.313
1,1,1,1,1.829
1,2,2,1,2.813
1,2,2,1,1.516
1,2,2,1,1.5
1,2,1,0,3.188
1,2,2,1,1.86
1,1,2,0,5.391
1,2,2,1,3.5
1,1,1,1,2.312
1,1,1,1,0.984
1,1,1,1,1.531
1,2,2,1,0.969
1,1,1,1,1.922
1,2,2,1,5.672
1,1,2,0,2.657
1,2,2,1,2.032
1,2,1,0,2.281
1,1,1,1,1.953
1,2,2,1,1.25
1,2,2,1,2.532
1,2,2,1,2.407
1,2,2,1,0.828
1,2,2,1,1.422
1,1,1,1,1.954
1,1,1,1,1.86
1,1,1,1,3.656
1,1,1,1,2.562
1,1,2,0,8.187
1,2,2,1,3.437
1,2,2,1,1.859
1,2,2,1,2.391
1,1,1,1,1.578
1,2,2,1,0.938
1,1,1,1,2.531
1,2,2,1,1.719
1,1,1,1,1.375
1,1,1,1,1.859
1,1,1,1,1.609
1,2,1,0,3.063
1,2,2,1,2.781
1,2,2,1,2.109
1,2,2,1,0.859
1,2,2,1,2.437
1,2,2,1,1.234
1,2,2,1,1.406
1,2,2,1,2.86
1,1,1,1,0.907
1,1,2,0,1.61
1,1,1,1,1.188
1,1,1,1,2.375
1,2,1,0,2.812
1,1,1,1,2.078
1,1,1,1,1.579
1,1,1,1,2.703
1,1,2,0,2.625
1,1,1,1,1.843
1,1,2,0,2.75
1,2,1,0,2.14
1,2,2,1,5.078
1,1,2,0,3.718
1,2,2,1,0.812
1,2,2,1,2.781
1,2,2,1,2.344
1,2,2,1,2.266
1,2,2,1,1.468
1,2,2,1,2.109
1,2,1,0,4.031
1,1,2,0,2.922
1,2,2,1,2.797
1,2,2,1,1.484
1,2,1,0,5.469
1,1,2,0,3.235
1,2,1,0,2.156
1,1,1,1,2.125
1,2,2,1,0.797
1,1,1,1,2.594
13,1,1,1,1.796
13,1,1,1,1.5
13,1,1,1,2.047
13,2,2,1,1.219
13,1,1,1,1.062
13,2,2,1,1.218
13,2,2,1,1.359
13,2,2,1,1.188
13,1,1,1,0.985
13,2,2,1,1.031
13,1,1,1,1.703
13,1,1,1,0.875
13,2,2,1,0.969
13,2,2,1,1.859
13,2,2,1,1.297
13,2,2,1,1.438
13,1,1,1,2.875
13,1,1,1,1.141
13,1,1,1,1
13,2,2,1,1.625
13,2,2,1,1.203
13,2,2,1,1.907
13,2,2,1,1.438
13,1,1,1,1.344
13,1,2,0,1.953
13,1,1,1,3.344
13,1,1,1,0.969
13,2,2,1,1.594
13,1,1,1,1.187
13,2,2,1,1.078
13,2,2,1,1.344
13,2,2,1,3.641
13,2,2,1,2.25
13,2,1,0,2.391
13,2,2,1,1.031
13,2,2,1,2.016
13,1,1,1,1
13,1,1,1,1.562
13,2,2,1,1.328
13,1,1,1,1.594
13,2,2,1,1.188
13,1,1,1,1.453
13,2,2,1,0.906
13,1,2,0,2.625
13,2,2,1,1
13,2,2,1,1.094
13,1,1,1,1.094
13,1,1,1,1.406
13,2,2,1,2.547
13,1,1,1,1.359
13,2,2,1,1.61
13,2,2,1,1.156
13,2,2,1,1.094
13,1,1,1,2.5
13,1,1,1,1.563
13,1,1,1,1.328
13,2,2,1,1.125
13,2,1,0,2.453
13,2,2,1,0.953
13,1,1,1,0.89
13,1,1,1,2.109
13,2,2,1,0.891
13,2,1,0,3.422
13,1,1,1,1.437
13,1,1,1,0.984
13,1,1,1,3.625
13,1,1,1,1.704
13,2,2,1,0.985
13,1,1,1,1.078
13,1,1,1,2.5
13,2,2,1,0.875
13,1,1,1,1.203
13,2,2,1,1.531
13,1,1,1,1.438
13,2,2,1,1.093
13,1,1,1,1.687
13,2,2,1,2.875
