id,new_item,new_resp,correct,rt,trial
1,0,0,1,1.085811,1
1,0,0,1,1.092927,2
1,0,0,1,0.98223,3
1,1,1,1,1.48723,4
1,1,1,1,1.087476,5
1,0,0,1,1.595117,6
1,0,0,1,0.982438,7
1,0,0,1,1.375734,8
1,0,1,0,1.499063,9
1,1,1,1,1.083632,10
1,0,0,1,1.49547,11
1,1,1,1,1.385386,12
1,1,1,1,0.869662,13
1,1,1,1,0.990186,14
1,0,0,1,1.390548,15
1,1,1,1,1.405393,16
1,0,0,1,1.494877,17
1,0,1,0,2.173906,18
1,0,0,1,1.360766,19
1,0,0,1,0.959041,20
1,1,1,1,1.489632,21
1,1,1,1,1.461438,22
1,0,1,0,1.409259,23
1,0,0,1,1.698873,24
1,0,0,1,1.588772,25
1,0,1,0,1.266384,26
1,1,1,1,0.963358,27
1,0,0,1,1.284026,28
1,1,1,1,1.27695,29
1,0,0,1,1.297909,30
1,0,0,1,1.166826,31
1,0,0,1,1.60451,32
1,1,1,1,1.392784,33
1,0,1,0,2.106561,34
1,0,0,1,1.178095,35
1,1,1,1,1.378035,36
1,1,1,1,1.584862,37
1,0,1,0,0.985972,38
1,1,1,1,1.108427,39
1,0,0,1,1.393573,40
1,1,1,1,1.40577,41
1,1,1,1,0.96596,42
1,0,0,1,1.388713,43
1,0,0,1,1.371295,44
1,0,0,1,1.208857,45
1,0,0,1,1.382584,46
1,1,0,0,1.822305,47
1,0,1,0,1.29768,48
1,1,1,1,0.988339,49
1,0,0,1,1.917397,50
1,0,0,1,0.991416,51
1,0,0,1,1.32012,52
1,0,0,1,1.209226,53
1,0,1,0,1.389266,54
1,0,1,0,1.087274,55
1,1,1,1,0.983195,56
1,1,1,1,0.99319,57
1,0,1,0,1.423864,58
1,0,1,0,1.092503,59
1,0,0,1,1.587721,60
1,0,0,1,1.471532,61
1,0,0,1,1.2989,62
1,1,1,1,1.294091,63
1,0,0,1,2.030822,64
1,1,1,1,1.61046,65
1,1,1,1,0.98685,66
1,1,1,1,0.968465,67
1,1,1,1,1.310095,68
1,0,0,1,NA,69
1,1,1,1,1.925335,70
1,0,0,1,1.616807,71
1,1,1,1,1.507163,72
1,1,1,1,1.418664,73
1,0,0,1,1.343037,74
1,1,1,1,1.578513,75
1,1,1,1,1.191453,76
1,1,1,1,0.980088,77
1,0,1,0,1.654354,78
1,0,1,0,1.073356,79
1,1,1,1,1.090528,80
1,1,1,1,0.979659,81
1,1,1,1,1.526137,82
1,0,0,1,1.709201,83
1,1,1,1,1.627936,84
1,1,1,1,1.095027,85
1,1,1,1,0.985998,86
1,1,1,1,1.077247,87
1,0,0,1,1.903993,88
1,0,1,0,NA,89
1,0,1,0,2.145702,90
1,1,1,1,0.984737,91
1,0,1,0,1.295325,92
1,1,1,1,0.9877,93
1,1,1,1,1.053108,94
1,0,0,1,1.402028,95
1,1,1,1,1.177204,96
1,1,1,1,1.093081,97
1,1,1,1,1.090412,98
1,1,1,1,0.976684,99
1,1,1,1,1.415349,100
1,1,1,1,1.211387,101
1,1,1,1,1.066317,102
1,1,1,1,1.077695,103
1,0,1,0,1.171301,104
1,0,1,0,1.197501,105
1,1,1,1,0.989183,106
1,1,1,1,1.090373,107
1,1,1,1,1.185926,108
1,1,1,1,1.209198,109
1,1,1,1,1.748544,110
1,0,1,0,1.318689,111
1,1,1,1,1.098591,112
2,1,1,1,2.01511,1
2,0,0,1,1.677781,2
2,1,1,1,1.28504,3
2,0,0,1,1.086478,4
2,0,0,1,1.185931,5
2,1,1,1,1.38716,6
2,1,0,0,1.735594,7
2,0,0,1,1.493961,8
2,0,0,1,1.087263,9
2,1,1,1,1.464004,10
2,1,1,1,1.503702,11
2,1,1,1,1.807159,12
2,1,1,1,1.575446,13
2,1,1,1,1.277018,14
2,0,0,1,1.15535,15
2,1,1,1,1.780525,16
2,0,0,1,1.161808,17
2,0,0,1,1.359034,18
2,0,0,1,1.376427,19
2,1,1,1,1.519869,20
2,0,0,1,1.049559,21
2,1,1,1,1.286232,22
2,1,1,1,1.264595,23
2,0,0,1,1.284653,24
2,0,0,1,1.890281,25
2,1,1,1,2.081787,26
2,1,1,1,1.702651,27
2,0,0,1,1.17743,28
2,1,1,1,1.717818,29
2,1,1,1,1.262312,30
2,1,1,1,1.589546,31
2,0,0,1,1.482771,32
2,0,0,1,1.471265,33
2,0,0,1,1.175943,34
2,1,0,0,1.656141,35
2,0,1,0,1.713791,36
2,1,1,1,1.476737,37
2,1,1,1,1.385997,38
2,1,1,1,1.377056,39
2,1,1,1,1.194884,40
2,1,1,1,1.256646,41
2,0,0,1,1.582575,42
2,0,0,1,1.187264,43
2,0,0,1,1.095081,44
2,0,0,1,1.086073,45
2,0,0,1,1.100135,46
2,0,1,0,1.611657,47
2,1,1,1,1.558754,48
2,1,1,1,1.275226,49
2,1,1,1,1.079899,50
2,0,0,1,1.296188,51
2,0,0,1,1.083759,52
2,0,0,1,1.093652,53
2,0,0,1,1.094317,54
2,0,0,1,1.209629,55
2,1,1,1,1.803967,56
2,0,0,1,1.352904,57
2,0,0,1,1.9223,58
2,0,0,1,1.181591,59
2,0,0,1,1.291759,60
2,1,1,1,1.706194,61
2,0,0,1,1.191187,62
2,1,1,1,1.389888,63
2,1,1,1,1.503704,64
2,0,0,1,1.396528,65
2,1,1,1,1.357295,66
2,1,1,1,1.525573,67
2,1,1,1,1.461214,68
2,1,1,1,1.55964,69
2,1,1,1,1.373654,70
2,0,0,1,1.38931,71
2,0,0,1,1.818704,72
2,0,0,1,1.093991,73
2,0,0,1,1.079347,74
2,1,1,1,1.505933,75
2,1,0,0,1.633639,76
2,1,1,1,1.286805,77
2,1,1,1,1.356995,78
2,0,0,1,1.484593,79
2,1,1,1,1.474415,80
2,0,1,0,1.686449,81
2,0,0,1,1.267644,82
2,0,0,1,1.313578,83
2,0,0,1,1.27863,84
2,1,1,1,1.605974,85
2,0,0,1,1.409573,86
2,0,0,1,1.41394,87
2,1,1,1,1.819836,88
2,1,0,0,1.264588,89
2,0,1,0,1.286645,90
2,0,0,1,1.592442,91
2,0,0,1,NA,92
2,0,0,1,1.27412,93
2,0,0,1,1.267127,94
2,1,1,1,1.304651,95
2,0,0,1,1.912741,96
2,1,1,1,1.67588,97
2,1,1,1,1.481983,98
2,0,0,1,1.362931,99
2,1,1,1,NA,100
2,0,0,1,1.30174,101
2,1,1,1,1.51295,102
2,0,0,1,1.364206,103
2,0,0,1,1.485527,104
2,1,1,1,2.030341,105
