id,new_item,new_resp,correct,rt,trial
1,0,1,0,2.651497,1
1,0,0,1,1.397002,2
1,0,0,1,1.37698,3
1,0,0,1,1.777742,4
1,0,0,1,1.106758,5
1,0,0,1,1.496114,6
1,1,1,1,1.609932,7
1,1,1,1,0.956915,8
1,1,1,1,0.86723,9
1,1,0,0,1.292571,10
1,0,0,1,1.086253,11
1,1,1,1,1.59114,12
1,0,0,1,1.490851,13
1,0,0,1,0.989886,14
1,0,0,1,0.875439,15
1,1,1,1,1.946083,16
1,1,1,1,1.045177,17
1,1,1,1,0.977191,18
1,0,0,1,1.375187,19
1,1,1,1,2.269414,20
1,0,1,0,1.573574,21
1,1,0,0,1.160797,22
1,0,0,1,0.962939,23
1,1,0,0,1.092968,24
1,0,0,1,0.979521,25
1,0,0,1,0.860875,26
1,0,1,0,1.281399,27
1,0,1,0,1.472446,28
1,1,1,1,2.248463,29
1,1,1,1,1.273446,30
1,1,0,0,1.978523,31
1,0,0,1,0.986369,32
1,1,1,1,1.500206,33
1,1,1,1,0.989587,34
1,0,0,1,1.488288,35
1,1,1,1,1.493645,36
1,0,0,1,1.367797,37
1,0,0,1,0.878391,38
1,0,1,0,1.478497,39
1,1,1,1,1.592087,40
1,0,1,0,2.325771,41
1,0,0,1,1.067884,42
1,0,0,1,1.10518,43
1,0,0,1,1.097728,44
1,1,1,1,2.069158,45
1,1,1,1,1.163397,46
1,1,0,0,2.153973,47
1,0,0,1,1.079443,48
1,1,1,1,1.602923,49
1,1,1,1,1.18917,50
1,0,0,1,1.612253,51
1,1,0,0,1.101308,52
1,1,0,0,2.125488,53
1,1,1,1,1.931305,54
1,1,1,1,1.580843,55
1,1,1,1,1.067324,56
1,1,1,1,0.991903,57
1,0,0,1,1.399122,58
1,0,0,1,0.882656,59
1,1,1,1,1.616242,60
1,0,0,1,1.458291,61
1,0,0,1,0.999942,62
1,0,0,1,0.989386,63
1,1,1,1,1.723901,64
1,0,0,1,1.267978,65
1,0,0,1,0.8796,66
1,1,1,1,1.171904,67
1,1,0,0,1.262733,68
1,1,0,0,1.092921,69
1,0,1,0,1.070877,70
1,0,0,1,1.19174,71
1,1,1,1,1.294745,72
1,1,1,1,1.171161,73
1,0,0,1,1.47382,74
1,1,0,0,2.082073,75
1,0,0,1,0.959317,76
1,1,0,0,2.620673,77
1,0,0,1,1.297145,78
1,0,0,1,0.985938,79
1,0,0,1,1.215009,80
1,0,0,1,1.078531,81
1,0,1,0,1.617932,82
1,0,0,1,1.391234,83
1,1,0,0,0.878443,84
1,0,0,1,1.091784,85
1,0,1,0,1.286268,86
1,1,0,0,1.625917,87
1,0,0,1,1.475011,88
1,1,0,0,1.464702,89
1,0,0,1,1.91213,90
1,1,1,1,1.399703,91
1,1,1,1,0.982603,92
1,1,1,1,0.993422,93
1,1,1,1,0.861859,94
1,1,1,1,0.878464,95
1,1,1,1,0.977634,96
1,1,1,1,0.985887,97
1,1,1,1,0.983249,98
1,0,0,1,1.793803,99
1,0,1,0,2.336779,100
1,1,1,1,0.963081,101
1,1,1,1,0.985074,102
1,0,0,1,1.730079,103
1,1,0,0,1.073754,104
1,0,0,1,1.101673,105
1,1,1,1,1.487548,106
1,1,1,1,0.985791,107
1,0,0,1,2.158284,108
1,1,1,1,1.597145,109
1,1,1,1,0.993301,110
1,0,0,1,2.188753,111
1,0,0,1,0.980022,112
2,1,1,1,NA,1
2,1,1,1,1.296974,2
2,0,0,1,1.680421,3
2,0,0,1,1.364865,4
2,0,0,1,1.274793,5
2,0,0,1,1.265182,6
2,1,1,1,1.474366,7
2,0,1,0,1.703714,8
2,0,0,1,1.486025,9
2,1,1,1,1.384649,10
2,0,1,0,1.793607,11
2,1,1,1,1.489449,12
2,0,1,0,1.095195,13
2,0,0,1,1.491764,14
2,1,1,1,1.277191,15
2,1,1,1,1.371959,16
2,1,1,1,1.955343,17
2,0,0,1,1.355702,18
2,0,0,1,1.473236,19
2,1,1,1,2.229228,20
2,1,1,1,1.615174,21
2,1,1,1,1.496681,22
2,1,1,1,1.496129,23
2,0,0,1,1.482949,24
2,1,1,1,1.482441,25
2,1,1,1,1.285273,26
2,0,0,1,1.55683,27
2,0,0,1,1.385141,28
2,0,0,1,1.35373,29
2,1,1,1,1.484664,30
2,0,1,0,1.684809,31
2,1,1,1,1.258489,32
2,0,0,1,1.481114,33
2,1,0,0,1.477141,34
2,0,0,1,1.576264,35
2,1,1,1,1.510464,36
2,1,1,1,1.395443,37
2,0,1,0,1.940197,38
2,1,1,1,1.489917,39
2,0,0,1,1.833445,40
2,0,1,0,1.711968,41
2,0,1,0,1.707512,42
2,1,1,1,1.176809,43
2,0,0,1,1.486806,44
2,0,0,1,1.69706,45
2,0,0,1,1.304968,46
2,0,0,1,1.210775,47
2,1,0,0,1.53372,48
2,0,0,1,1.211977,49
2,1,1,1,1.713943,50
2,1,1,1,1.582682,51
2,1,1,1,1.275613,52
2,1,1,1,1.273802,53
2,1,1,1,1.180621,54
2,0,1,0,1.174303,55
2,0,0,1,1.788,56
2,0,0,1,1.369754,57
2,1,1,1,1.698028,58
2,1,1,1,1.802323,59
2,0,1,0,1.695342,60
2,0,1,0,1.378815,61
2,1,1,1,1.497851,62
2,0,0,1,1.705344,63
2,0,0,1,1.384946,64
2,1,1,1,1.598266,65
2,0,0,1,1.693592,66
2,1,1,1,1.28732,67
2,1,1,1,1.503652,68
2,1,1,1,1.294225,69
2,1,1,1,1.201057,70
2,1,1,1,1.401152,71
2,0,0,1,2.354967,72
2,0,0,1,2.026137,73
2,0,0,1,1.785744,74
2,1,0,0,1.592974,75
2,1,1,1,1.706443,76
2,0,0,1,1.678098,77
2,1,1,1,1.494347,78
2,0,0,1,1.29842,79
2,0,0,1,1.727415,80
2,1,1,1,1.505954,81
2,1,1,1,1.385961,82
2,1,0,0,1.283255,83
2,0,0,1,1.822559,84
2,0,1,0,1.69185,85
2,0,1,0,1.314865,86
2,0,1,0,1.198048,87
2,1,1,1,1.201487,88
2,1,1,1,1.196081,89
2,1,1,1,1.088045,90
2,1,1,1,1.501019,91
2,1,1,1,NA,92
2,1,1,1,1.311452,93
2,0,0,1,1.715561,94
2,0,0,1,1.505739,95
2,0,0,1,1.823715,96
2,1,1,1,1.589498,97
2,0,1,0,1.202318,98
2,1,1,1,1.734372,99
2,0,1,0,1.304644,100
2,1,1,1,1.329255,101
2,1,1,1,1.205146,102
2,0,1,0,1.320502,103
2,0,1,0,1.305459,104
2,0,1,0,1.320893,105
2,1,0,0,1.307253,106
2,0,0,1,1.720792,107
2,1,1,1,1.486516,108
2,1,1,1,1.386189,109
2,1,1,1,1.591002,110
2,0,1,0,1.282288,111
2,0,0,1,2.429439,112
3,0,0,1,2.405724,1
3,0,0,1,1.439034,2
3,1,1,1,1.831128,3
3,0,0,1,1.489575,4
3,0,0,1,1.21393,5
3,1,1,1,2.025153,6
3,0,0,1,1.356152,7
3,0,0,1,0.979771,8
3,0,0,1,2.061981,9
3,0,0,1,0.87953,10
3,0,0,1,0.9706,11
3,1,1,1,2.460916,12
3,0,0,1,1.052819,13
3,1,1,1,1.614731,14
3,1,1,1,1.489091,15
3,0,1,0,2.824531,16
3,1,0,0,1.722445,17
3,0,0,1,0.99961,18
3,1,0,0,0.978445,19
3,0,0,1,1.10207,20
3,1,1,1,1.923577,21
3,1,1,1,2.03803,22
3,0,0,1,1.626785,23
3,1,1,1,1.812677,24
3,0,0,1,1.38236,25
3,0,1,0,2.150987,26
3,1,1,1,1.691911,27
3,1,0,0,2.033103,28
3,0,0,1,1.088948,29
3,1,1,1,1.619018,30
3,0,0,1,1.707017,31
3,0,0,1,0.988821,32
3,1,1,1,1.707891,33
3,1,1,1,1.38347,34
3,0,0,1,1.588651,35
3,1,1,1,1.933853,36
3,0,1,0,2.016484,37
3,0,0,1,1.825833,38
3,0,0,1,1.516672,39
3,1,1,1,1.833744,40
3,0,0,1,1.711412,41
3,1,1,1,1.947575,42
3,1,1,1,1.492995,43
3,0,0,1,1.508944,44
3,1,1,1,2.031709,45
3,1,1,1,1.69214,46
3,1,1,1,1.613163,47
3,1,1,1,1.541043,48
3,1,1,1,1.211112,49
3,1,1,1,0.991481,50
3,0,1,0,1.297742,51
3,1,1,1,1.651078,52
3,0,0,1,2.060201,53
3,0,0,1,1.179583,54
3,0,1,0,NA,55
3,0,0,1,1.610737,56
3,1,1,1,1.744827,57
3,0,0,1,1.399848,58
3,1,1,1,1.824726,59
3,1,1,1,1.504948,60
3,0,0,1,2.27583,61
3,1,1,1,1.731511,62
3,1,1,1,1.479371,63
3,1,1,1,1.187237,64
3,1,1,1,1.430638,65
3,1,1,1,1.102818,66
3,0,0,1,1.611642,67
3,0,1,0,1.398161,68
3,1,1,1,1.422668,69
3,0,0,1,1.515405,70
3,0,0,1,2.306038,71
3,1,1,1,2.215069,72
3,1,0,0,1.564038,73
3,0,0,1,2.425434,74
3,1,1,1,1.885519,75
3,1,1,1,NA,76
3,1,1,1,3.396815,77
3,0,0,1,1.610845,78
3,1,0,0,1.199455,79
3,0,0,1,1.101632,80
3,0,0,1,0.985006,81
3,1,1,1,2.148989,82
3,0,0,1,1.422585,83
3,0,0,1,2.173506,84
3,0,0,1,0.989484,85
3,1,1,1,2.352362,86
3,0,0,1,1.94309,87
3,0,0,1,0.967562,88
3,0,0,1,1.0654,89
3,1,0,0,1.916144,90
3,1,1,1,1.992197,91
3,0,0,1,1.583305,92
3,1,1,1,1.818392,93
3,0,0,1,2.142566,94
3,0,0,1,1.091837,95
3,0,0,1,1.104911,96
3,1,0,0,1.201873,97
3,1,1,1,1.629006,98
3,1,0,0,1.794144,99
3,1,0,0,NA,100
3,1,1,1,1.587585,101
3,0,0,1,1.611718,102
3,1,1,1,1.600393,103
3,0,0,1,2.22634,104
3,1,1,1,1.524352,105
3,1,1,1,1.209288,106
3,1,1,1,1.204113,107
3,1,1,1,0.989573,108
3,0,0,1,1.59864,109
3,0,0,1,1.587902,110
3,0,0,1,1.096187,111
3,0,0,1,1.098868,112
4,0,1,0,1.989689,1
4,0,0,1,1.62048,2
4,0,0,1,1.175977,3
4,1,0,0,1.173833,4
4,0,0,1,1.088826,5
4,1,1,1,1.627787,6
4,0,1,0,1.169255,7
4,0,0,1,1.277635,8
4,0,1,0,1.055197,9
4,1,0,0,1.160138,10
4,1,1,1,1.056769,11
4,1,1,1,1.480661,12
4,1,0,0,1.150831,13
4,0,0,1,0.980346,14
4,0,0,1,1.095372,15
4,1,1,1,1.833112,16
4,1,0,0,1.284294,17
4,0,0,1,0.964272,18
4,1,1,1,1.567275,19
4,0,1,0,1.808232,20
4,0,0,1,1.278993,21
4,1,1,1,1.795476,22
4,0,0,1,1.089354,23
4,0,0,1,0.98511,24
4,1,1,1,1.602178,25
4,0,0,1,1.713525,26
4,0,0,1,0.985907,27
4,0,0,1,1.099072,28
4,0,0,1,1.785698,29
4,1,1,1,1.176196,30
4,1,1,1,0.988896,31
4,0,0,1,2.152492,32
4,0,0,1,1.497886,33
4,1,1,1,1.281559,34
4,0,0,1,1.628719,35
4,1,1,1,1.159575,36
4,0,0,1,1.166204,37
4,1,1,1,1.180987,38
4,0,1,0,1.577305,39
4,1,0,0,0.970074,40
4,1,0,0,1.094973,41
4,1,1,1,1.391656,42
4,0,1,0,1.379761,43
4,1,1,1,2.319478,44
4,1,1,1,1.706046,45
4,1,0,0,1.31945,46
4,0,0,1,1.519868,47
4,0,0,1,0.988634,48
4,0,0,1,1.85262,49
4,0,0,1,1.094895,50
4,1,1,1,1.932464,51
4,1,1,1,2.01742,52
4,0,1,0,1.73269,53
4,1,0,0,1.299938,54
4,0,0,1,1.095694,55
4,0,0,1,0.98581,56
4,0,0,1,1.094787,57
4,1,1,1,1.597702,58
4,1,1,1,1.493831,59
4,1,1,1,1.297212,60
4,1,1,1,1.318574,61
4,0,0,1,2.237154,62
4,0,1,0,1.485872,63
4,0,1,0,1.205612,64
4,1,1,1,1.420281,65
4,1,1,1,1.511274,66
4,0,0,1,1.723955,67
4,0,1,0,2.023473,68
4,0,1,0,1.665208,69
4,1,1,1,1.503872,70
4,0,0,1,1.398516,71
4,0,0,1,1.086796,72
4,1,1,1,1.067961,73
4,1,1,1,1.080598,74
4,1,0,0,1.607286,75
4,0,1,0,1.488582,76
4,1,1,1,0.985737,77
4,0,1,0,1.094941,78
4,1,1,1,0.976683,79
4,0,1,0,1.086833,80
4,1,1,1,1.09544,81
4,0,1,0,1.204897,82
4,0,1,0,2.736462,83
4,1,1,1,1.189756,84
4,1,1,1,1.095339,85
4,0,1,0,0.977147,86
4,1,1,1,1.204975,87
4,1,0,0,1.819552,88
4,0,0,1,1.36174,89
4,0,0,1,1.393666,90
4,0,1,0,1.386369,91
4,1,1,1,1.090755,92
4,1,1,1,2.238173,93
4,1,1,1,1.205145,94
4,1,1,1,1.09622,95
4,1,1,1,1.205325,96
4,1,0,0,1.390633,97
4,1,1,1,1.072588,98
4,1,1,1,1.291075,99
4,1,1,1,1.190565,100
4,1,1,1,1.082789,101
4,1,1,1,1.427214,102
4,1,1,1,0.97664,103
4,0,1,0,1.208177,104
4,1,0,0,1.609702,105
4,1,1,1,1.385832,106
4,0,1,0,2.016931,107
4,0,1,0,1.289309,108
4,0,0,1,1.389789,109
4,0,1,0,1.188533,110
4,0,1,0,1.389972,111
4,0,1,0,NA,112
5,1,1,1,1.874032,1
5,1,1,1,1.257672,2
5,1,1,1,1.167463,3
5,1,1,1,1.266726,4
5,1,1,1,1.578726,5
5,1,1,1,1.17257,6
5,1,1,1,1.048632,7
5,1,1,1,1.148568,8
5,1,1,1,1.07085,9
5,0,0,1,1.811363,10
5,1,0,0,1.793807,11
5,1,1,1,1.470519,12
5,1,1,1,1.407662,13
5,1,1,1,2.502019,14
5,0,1,0,1.735817,15
5,1,1,1,1.204051,16
5,0,1,0,1.314702,17
5,1,1,1,1.531287,18
5,0,1,0,2.289641,19
5,0,1,0,1.523528,20
5,0,1,0,1.517115,21
5,1,1,1,0.977169,22
5,0,0,1,1.610432,23
5,0,0,1,1.096138,24
5,1,1,1,1.611168,25
5,0,0,1,1.611029,26
5,1,1,1,1.374219,27
5,1,1,1,1.845127,28
5,0,1,0,0.984905,29
5,1,1,1,0.986069,30
5,1,1,1,1.09401,31
5,0,0,1,1.70406,32
5,0,1,0,1.45441,33
5,1,1,1,1.086586,34
5,0,0,1,1.51274,35
5,0,0,1,1.475285,36
5,0,0,1,1.390779,37
5,0,0,1,1.148869,38
5,0,0,1,1.259081,39
5,0,0,1,1.281473,40
5,0,1,0,1.492635,41
5,0,0,1,3.064803,42
5,0,1,0,1.908028,43
5,0,1,0,1.282422,44
5,0,0,1,1.282465,45
5,1,1,1,1.055404,46
5,1,1,1,1.188471,47
5,0,0,1,2.024041,48
5,1,1,1,1.142203,49
5,0,1,0,1.283164,50
5,0,0,1,1.704882,51
5,1,1,1,1.751381,52
5,1,1,1,0.985412,53
5,0,0,1,1.513807,54
5,1,1,1,2.356201,55
5,1,1,1,2.610952,56
5,1,1,1,1.314417,57
5,1,1,1,1.204864,58
5,0,0,1,1.795605,59
5,0,0,1,1.599083,60
5,1,1,1,1.352881,61
5,1,1,1,1.17257,62
5,1,1,1,1.290085,63
5,0,0,1,1.392721,64
5,1,1,1,1.758218,65
5,1,1,1,1.266401,66
5,1,1,1,1.836794,67
5,0,0,1,1.385605,68
5,0,0,1,1.672972,69
5,0,0,1,1.578522,70
5,1,1,1,1.776054,71
5,1,1,1,2.001096,72
5,0,1,0,1.079696,73
5,0,0,1,1.383277,74
5,0,0,1,1.167461,75
5,1,1,1,1.91453,76
5,0,0,1,1.27784,77
5,0,0,1,1.275803,78
5,0,1,0,1.607025,79
5,0,1,0,1.813878,80
5,0,1,0,1.821362,81
5,1,1,1,2.51444,82
5,0,1,0,0.986235,83
5,1,1,1,1.314159,84
5,1,1,1,1.195827,85
5,0,0,1,1.707866,86
5,1,1,1,1.182421,87
5,1,1,1,1.30543,88
5,0,1,0,1.805729,89
5,1,1,1,0.984576,90
