"","sub","trial","stim","item","response","correct","RT"
"1",1,1,"word","old","new",0,2.651497
"2",1,2,"word","old","old",1,1.397002
"3",1,3,"word","old","old",1,1.37698
"4",1,4,"word","old","old",1,1.777742
"5",1,5,"word","old","old",1,1.106758
"6",1,6,"word","old","old",1,1.496114
"7",1,7,"word","new","new",1,1.609932
"8",1,8,"word","new","new",1,0.956915
"9",1,9,"word","new","new",1,0.86723
"10",1,10,"word","new","old",0,1.292571
"11",1,11,"word","old","old",1,1.086253
"12",1,12,"word","new","new",1,1.59114
"13",1,13,"word","old","old",1,1.490851
"14",1,14,"word","old","old",1,0.989886
"15",1,15,"word","old","old",1,0.875439
"16",1,16,"word","new","new",1,1.946083
"17",1,17,"word","new","new",1,1.045177
"18",1,18,"word","new","new",1,0.977191
"19",1,19,"word","old","old",1,1.375187
"20",1,20,"word","new","new",1,2.269414
"21",1,21,"word","old","new",0,1.573574
"22",1,22,"word","new","old",0,1.160797
"23",1,23,"word","old","old",1,0.962939
"24",1,24,"word","new","old",0,1.092968
"25",1,25,"word","old","old",1,0.979521
"26",1,26,"word","old","old",1,0.860875
"27",1,27,"word","old","new",0,1.281399
"28",1,28,"word","old","new",0,1.472446
"29",1,29,"word","new","new",1,2.248463
"30",1,30,"word","new","new",1,1.273446
"31",1,31,"word","new","old",0,1.978523
"32",1,32,"word","old","old",1,0.986369
"33",1,33,"word","new","new",1,1.500206
"34",1,34,"word","new","new",1,0.989587
"35",1,35,"word","old","old",1,1.488288
"36",1,36,"word","new","new",1,1.493645
"37",1,37,"word","old","old",1,1.367797
"38",1,38,"word","old","old",1,0.878391
"39",1,39,"word","old","new",0,1.478497
"40",1,40,"word","new","new",1,1.592087
"41",1,41,"word","old","new",0,2.325771
"42",1,42,"word","old","old",1,1.067884
"43",1,43,"word","old","old",1,1.10518
"44",1,44,"word","old","old",1,1.097728
"45",1,45,"word","new","new",1,2.069158
"46",1,46,"word","new","new",1,1.163397
"47",1,47,"word","new","old",0,2.153973
"48",1,48,"word","old","old",1,1.079443
"49",1,49,"word","new","new",1,1.602923
"50",1,50,"word","new","new",1,1.18917
"51",1,51,"word","old","old",1,1.612253
"52",1,52,"word","new","old",0,1.101308
"53",1,53,"word","new","old",0,2.125488
"54",1,54,"word","new","new",1,1.931305
"55",1,55,"word","new","new",1,1.580843
"56",1,56,"word","new","new",1,1.067324
"57",1,57,"word","new","new",1,0.991903
"58",1,58,"word","old","old",1,1.399122
"59",1,59,"word","old","old",1,0.882656
"60",1,60,"word","new","new",1,1.616242
"61",1,61,"word","old","old",1,1.458291
"62",1,62,"word","old","old",1,0.999942
"63",1,63,"word","old","old",1,0.989386
"64",1,64,"word","new","new",1,1.723901
"65",1,65,"word","old","old",1,1.267978
"66",1,66,"word","old","old",1,0.8796
"67",1,67,"word","new","new",1,1.171904
"68",1,68,"word","new","old",0,1.262733
"69",1,69,"word","new","old",0,1.092921
"70",1,70,"word","old","new",0,1.070877
"71",1,71,"word","old","old",1,1.19174
"72",1,72,"word","new","new",1,1.294745
"73",1,73,"word","new","new",1,1.171161
"74",1,74,"word","old","old",1,1.47382
"75",1,75,"word","new","old",0,2.082073
"76",1,76,"word","old","old",1,0.959317
"77",1,77,"word","new","old",0,2.620673
"78",1,78,"word","old","old",1,1.297145
"79",1,79,"word","old","old",1,0.985938
"80",1,80,"word","old","old",1,1.215009
"81",1,81,"word","old","old",1,1.078531
"82",1,82,"word","old","new",0,1.617932
"83",1,83,"word","old","old",1,1.391234
"84",1,84,"word","new","old",0,0.878443
"85",1,85,"word","old","old",1,1.091784
"86",1,86,"word","old","new",0,1.286268
"87",1,87,"word","new","old",0,1.625917
"88",1,88,"word","old","old",1,1.475011
"89",1,89,"word","new","old",0,1.464702
"90",1,90,"word","old","old",1,1.91213
"91",1,91,"word","new","new",1,1.399703
"92",1,92,"word","new","new",1,0.982603
"93",1,93,"word","new","new",1,0.993422
"94",1,94,"word","new","new",1,0.861859
"95",1,95,"word","new","new",1,0.878464
"96",1,96,"word","new","new",1,0.977634
"97",1,97,"word","new","new",1,0.985887
"98",1,98,"word","new","new",1,0.983249
"99",1,99,"word","old","old",1,1.793803
"100",1,100,"word","old","new",0,2.336779
"101",1,101,"word","new","new",1,0.963081
"102",1,102,"word","new","new",1,0.985074
"103",1,103,"word","old","old",1,1.730079
"104",1,104,"word","new","old",0,1.073754
"105",1,105,"word","old","old",1,1.101673
"106",1,106,"word","new","new",1,1.487548
"107",1,107,"word","new","new",1,0.985791
"108",1,108,"word","old","old",1,2.158284
"109",1,109,"word","new","new",1,1.597145
"110",1,110,"word","new","new",1,0.993301
"111",1,111,"word","old","old",1,2.188753
"112",1,112,"word","old","old",1,0.980022
"113",1,113,"pict","old","old",1,1.085811
"114",1,114,"pict","old","old",1,1.092927
"115",1,115,"pict","old","old",1,0.98223
"116",1,116,"pict","new","new",1,1.48723
"117",1,117,"pict","new","new",1,1.087476
"118",1,118,"pict","old","old",1,1.595117
"119",1,119,"pict","old","old",1,0.982438
"120",1,120,"pict","old","old",1,1.375734
"121",1,121,"pict","old","new",0,1.499063
"122",1,122,"pict","new","new",1,1.083632
"123",1,123,"pict","old","old",1,1.49547
"124",1,124,"pict","new","new",1,1.385386
