"","sub","trial","stim","item","response","correct","RT"
"1",1,1,"pict","old","old",1,3.43991
"2",1,2,"pict","old","old",1,1.205457
"3",1,3,"pict","old","old",1,1.095678
"4",1,4,"pict","new","new",1,2.043867
"5",1,5,"pict","new","new",1,1.844368
"6",1,6,"pict","old","new",0,2.724882
"7",1,7,"pict","old","old",1,1.591455
"8",1,8,"pict","old","old",1,1.082147
"9",1,9,"pict","old","old",1,1.095867
"10",1,10,"pict","new","new",1,1.935899
"11",1,11,"pict","old","old",1,1.891613
"12",1,12,"pict","new","new",1,1.71534
"13",1,13,"pict","new","new",1,1.700374
"14",1,14,"pict","new","new",1,1.892044
"15",1,15,"pict","old","old",1,1.402695
"16",1,16,"pict","new","new",1,1.714002
"17",1,17,"pict","old","old",1,2.115791
"18",1,18,"pict","old","old",1,1.423066
"19",1,19,"pict","old","old",1,1.204186
"20",1,20,"pict","old","old",1,1.086384
"21",1,21,"pict","new","new",1,1.908782
"22",1,22,"pict","new","new",1,2.008799
"23",1,23,"pict","old","old",1,1.483167
"24",1,24,"pict","old","old",1,1.063163
"25",1,25,"pict","old","old",1,0.974075
"26",1,26,"pict","old","old",1,1.088008
"27",1,27,"pict","new","new",1,1.712688
"28",1,28,"pict","old","old",1,1.281547
"29",1,29,"pict","new","new",1,1.839041
"30",1,30,"pict","old","old",1,1.182329
"31",1,31,"pict","old","old",1,3.417096
"32",1,32,"pict","old","old",1,1.081913
"33",1,33,"pict","new","new",1,1.299634
"34",1,34,"pict","old","old",1,2.132255
"35",1,35,"pict","old","old",1,1.312615
"36",1,36,"pict","new","new",1,1.407343
"37",1,37,"pict","new","new",1,2.069765
"38",1,38,"pict","old","old",1,1.607018
"39",1,39,"pict","new","new",1,1.586151
"40",1,40,"pict","old","old",1,1.185527
"41",1,41,"pict","new","new",1,2.436012
"42",1,42,"pict","new","old",0,1.609884
"43",1,43,"pict","old","old",1,1.353066
"44",1,44,"pict","old","old",1,1.250013
"45",1,45,"pict","old","old",1,1.985631
"46",1,46,"pict","old","old",1,1.807725
"47",1,47,"pict","new","new",1,1.701808
"48",1,48,"pict","old","old",1,1.608684
"49",1,49,"pict","new","new",1,1.51337
"50",1,50,"pict","old","old",1,1.678104
"51",1,51,"pict","old","old",1,1.347057
"52",1,52,"pict","old","new",0,1.385528
"53",1,53,"pict","old","new",0,1.583945
"54",1,54,"pict","old","new",0,2.428782
"55",1,55,"pict","old","old",1,1.625437
"56",1,56,"pict","new","new",1,1.708579
"57",1,57,"pict","new","new",1,1.681649
"58",1,58,"pict","old","old",1,1.613006
"59",1,59,"pict","old","old",1,1.824835
"60",1,60,"pict","old","old",1,1.166658
"61",1,61,"pict","old","old",1,1.08857
"62",1,62,"pict","old","old",1,1.193623
"63",1,63,"pict","new","new",1,1.707136
"64",1,64,"pict","old","old",1,1.800963
"65",1,65,"pict","new","new",1,1.803467
"66",1,66,"pict","new","new",1,1.260579
"67",1,67,"pict","new","new",1,1.199011
"68",1,68,"pict","new","new",1,1.087207
"69",1,69,"pict","old","old",1,1.404834
"70",1,70,"pict","new","new",1,1.507724
"71",1,71,"pict","old","old",1,1.509817
"72",1,72,"pict","new","new",1,2.064703
"73",1,73,"pict","new","new",1,2.02004
"74",1,74,"pict","old","old",1,1.163608
"75",1,75,"pict","new","new",1,1.701374
"76",1,76,"pict","new","new",1,2.002045
"77",1,77,"pict","new","new",1,1.586768
"78",1,78,"pict","old","old",1,1.279628
"79",1,79,"pict","old","old",1,1.301023
"80",1,80,"pict","new","new",1,2.70932
"81",1,81,"pict","new","new",1,1.680207
"82",1,82,"pict","new","new",1,1.614582
"83",1,83,"pict","old","old",1,1.689283
"84",1,84,"pict","new","new",1,2.77204
"85",1,85,"pict","new","new",1,1.680915
"86",1,86,"pict","new","new",1,1.378412
"87",1,87,"pict","new","new",1,2.267422
"88",1,88,"pict","old","old",1,1.603328
"89",1,89,"pict","old","old",1,2.138905
"90",1,90,"pict","old","old",1,2.173335
"91",1,91,"pict","new","new",1,2.029934
"92",1,92,"pict","old","old",1,1.69296
"93",1,93,"pict","new","new",1,1.384343
"94",1,94,"pict","new","new",1,1.515639
"95",1,95,"pict","old","old",1,1.490187
"96",1,96,"pict","new","new",1,1.617516
"97",1,97,"pict","new","new",1,1.198937
"98",1,98,"pict","new","new",1,0.972991
"99",1,99,"pict","new","new",1,1.092084
"100",1,100,"pict","new","new",1,1.088538
"101",1,101,"pict","new","new",1,1.079268
"102",1,102,"pict","new","new",1,1.201297
"103",1,103,"pict","new","new",1,1.310761
"104",1,104,"pict","old","old",1,2.034767
