"","sub","trial","condition","stim","correct","RT"
"1",1,1,1,1,1,1.96
"2",1,2,1,1,1,2.39
"3",1,3,1,1,1,2.72
"4",1,4,1,1,0,3.38
"5",1,5,1,1,1,1.63
"6",1,6,1,1,1,6.44
"7",1,7,1,1,1,1.41
"8",1,8,1,1,1,1.08
"9",1,9,1,1,1,1.74
"10",1,10,1,1,0,1.85
"11",1,11,1,1,1,3.38
"12",1,12,1,1,1,1.41
"13",1,13,1,1,1,1.3
"14",1,14,1,1,1,1.96
"15",1,15,1,1,1,2.18
"16",1,16,1,1,0,3.27
"17",1,17,1,1,0,2.29
"18",1,18,1,1,0,2.39
"19",1,19,1,1,1,1.74
"20",1,20,1,1,1,1.85
"21",1,21,1,1,1,2.61
"22",1,22,1,1,1,2.07
"23",1,23,1,1,1,3.17
"24",1,24,1,1,0,0.97
"25",1,25,1,1,1,3.71
"26",1,26,1,1,1,1.96
"27",1,27,1,1,1,2.18
"28",1,28,1,1,1,0.86
"29",1,29,1,1,1,4.36
"30",1,30,1,1,1,1.3
"31",1,31,1,1,1,1.08
"32",1,32,1,1,1,1.85
"33",1,33,1,1,1,5.35
"34",1,34,1,1,1,1.08
"35",1,35,1,1,1,1.74
"36",1,36,1,1,0,1.41
"37",1,37,1,1,1,1.63
"38",1,38,1,1,1,1.19
"39",1,39,1,1,1,1.96
"40",1,40,1,1,1,1.41
"41",1,41,1,1,1,1.3
"42",1,42,1,1,1,1.63
"43",1,43,1,1,1,1.74
"44",1,44,1,1,1,1.74
"45",1,45,1,1,1,2.5
"46",1,46,1,1,1,2.61
"47",1,47,1,1,1,1.63
"48",1,48,1,1,1,1.41
"49",1,49,1,1,0,2.83
"50",1,50,1,1,1,1.63
"51",1,51,1,0,1,2.95
"52",1,52,1,0,1,1.85
"53",1,53,1,0,1,2.4
"54",1,54,1,0,1,2.08
"55",1,55,1,0,1,2.95
"56",1,56,1,0,1,2.07
"57",1,57,1,0,1,1.64
"58",1,58,1,0,1,1.96
"59",1,59,1,0,1,1.64
"60",1,60,1,0,1,1.64
"61",1,61,1,0,1,1.85
"62",1,62,1,0,1,2.18
"63",1,63,1,0,1,1.42
"64",1,64,1,0,1,3.93
"65",1,65,1,0,1,1.3
"66",1,66,1,0,1,1.63
"67",1,67,1,0,1,2.07
"68",1,68,1,0,1,2.62
"69",1,69,1,0,1,1.2
"70",1,70,1,0,1,2.08
"71",1,71,1,0,0,2.18
"72",1,72,1,0,1,1.96
"73",1,73,1,0,1,1.85
"74",1,74,1,0,1,1.53
"75",1,75,1,0,1,2.62
"76",1,76,1,0,1,3.6
"77",1,77,1,0,1,1.63
"78",1,78,1,0,0,2.07
"79",1,79,1,0,1,1.63
"80",1,80,1,0,1,2.62
"81",1,81,1,0,0,3.49
"82",1,82,1,0,1,2.07
"83",1,83,1,0,1,2.29
"84",1,84,1,0,0,1.96
"85",1,85,1,0,0,3.6
"86",1,86,1,0,1,2.95
"87",1,87,1,0,0,2.5
"88",1,88,1,0,0,1.85
"89",1,89,1,0,0,4.03
"90",1,90,1,0,0,3.16
"91",1,91,1,0,1,1.53
"92",1,92,1,0,1,2.4
"93",1,93,1,0,0,1.63
"94",1,94,1,0,1,2.39
"95",1,95,1,0,0,1.75
"96",1,96,1,0,1,3.6
"97",1,97,1,0,1,1.42
"98",1,98,1,0,1,2.4
"99",1,99,1,0,0,1.96
"100",1,100,1,0,1,2.18
"101",1,1,3,1,1,1.63
"102",1,2,3,1,0,3.16
"103",1,3,3,0,1,2.18
"104",1,4,3,1,1,1.96
"105",1,5,3,1,0,2.29
"106",1,6,3,0,1,2.51
"107",1,7,3,1,0,1.96
"108",1,8,3,0,1,2.18
"109",1,9,3,0,1,1.74
"110",1,10,3,1,1,1.52
"111",1,11,3,0,1,1.85
"112",1,12,3,0,1,1.85
"113",1,13,3,0,1,1.96
"114",1,14,3,0,1,2.07
"115",1,15,3,0,1,1.63
"116",1,16,3,1,1,1.85
"117",1,17,3,1,0,1.19
"118",1,18,3,0,1,1.64
"119",1,19,3,1,1,2.07
"120",1,20,3,1,0,1.3
"121",1,21,3,1,1,1.08
"122",1,22,3,1,0,2.18
"123",1,23,3,0,1,1.42
"124",1,24,3,1,1,1.64
"125",1,25,3,0,0,3.82
"126",1,26,3,0,1,2.61
"127",1,27,3,0,1,2.19
"128",1,28,3,1,1,1.08
"129",1,29,3,1,1,2.72
"130",1,30,3,1,0,1.64
"131",1,31,3,0,1,1.42
"132",1,32,3,1,1,1.41
"133",1,33,3,0,1,3.05
"134",1,34,3,1,1,2.07
"135",1,35,3,0,1,2.61
"136",1,36,3,0,1,1.63
"137",1,37,3,0,1,1.3
