subjectnum;order;blockedormixed;condition;testtrial;faceorword;wordonleft;wordonright;faceonleft;faceonright;responsekey;accuracy;RT;studytrial;testbin;;;;;;;;;;;;;;;;;;;;;;
1,00;1,00;2,00;1,00;1,00;1,00;homes;steps;0,00;0,00;1,00;1,00;1,96;84,00;1,00;;;;;;;;;;;;;;;;;;;;;;
1,00;1,00;2,00;1,00;2,00;1,00;piece;lips;0,00;0,00;1,00;1,00;2,39;26,00;1,00;;;;;;;;;;;;;;;;;;;;;;
1,00;1,00;2,00;1,00;3,00;1,00;song;show;0,00;0,00;1,00;1,00;2,72;67,00;1,00;;;;;;;;;;;;;;;;;;;;;;
1,00;1,00;2,00;1,00;4,00;1,00;hole;hands;0,00;0,00;2,00;0,00;3,38;16,00;1,00;;;;;;;;;;;;;;;;;;;;;;
1,00;1,00;2,00;1,00;5,00;1,00;evening;seek;0,00;0,00;2,00;1,00;1,63;41,00;1,00;;;;;;;;;;;;;;;;;;;;;;
1,00;1,00;2,00;1,00;6,00;1,00;draw;experience;0,00;0,00;1,00;1,00;6,44;75,00;1,00;;;;;;;;;;;;;;;;;;;;;;
1,00;1,00;2,00;1,00;7,00;1,00;engine;sources;0,00;0,00;1,00;1,00;1,41;28,00;1,00;;;;;;;;;;;;;;;;;;;;;;
1,00;1,00;2,00;1,00;8,00;1,00;somehow;headed;0,00;0,00;1,00;1,00;1,08;43,00;1,00;;;;;;;;;;;;;;;;;;;;;;
1,00;1,00;2,00;1,00;9,00;1,00;individuals;occurred;0,00;0,00;2,00;1,00;1,74;44,00;1,00;;;;;;;;;;;;;;;;;;;;;;
1,00;1,00;2,00;1,00;10,00;1,00;dress;king;0,00;0,00;1,00;0,00;1,85;30,00;1,00;;;;;;;;;;;;;;;;;;;;;;
1,00;1,00;2,00;1,00;11,00;1,00;sample;writer;0,00;0,00;2,00;1,00;3,38;88,00;2,00;;;;;;;;;;;;;;;;;;;;;;
1,00;1,00;2,00;1,00;12,00;1,00;bright;addition;0,00;0,00;2,00;1,00;1,41;62,00;2,00;;;;;;;;;;;;;;;;;;;;;;
1,00;1,00;2,00;1,00;13,00;1,00;plays;glass;0,00;0,00;1,00;1,00;1,30;90,00;2,00;;;;;;;;;;;;;;;;;;;;;;
1,00;1,00;2,00;1,00;14,00;1,00;poor;pass;0,00;0,00;1,00;1,00;1,96;77,00;2,00;;;;;;;;;;;;;;;;;;;;;;
1,00;1,00;2,00;1,00;15,00;1,00;train;dropped;0,00;0,00;2,00;1,00;2,18;66,00;2,00;;;;;;;;;;;;;;;;;;;;;;
1,00;1,00;2,00;1,00;16,00;1,00;goal;question;0,00;0,00;1,00;0,00;3,27;91,00;2,00;;;;;;;;;;;;;;;;;;;;;;
1,00;1,00;2,00;1,00;17,00;1,00;fresh;style;0,00;0,00;2,00;0,00;2,29;69,00;2,00;;;;;;;;;;;;;;;;;;;;;;
1,00;1,00;2,00;1,00;18,00;1,00;breath;serve;0,00;0,00;1,00;0,00;2,39;8,00;2,00;;;;;;;;;;;;;;;;;;;;;;
1,00;1,00;2,00;1,00;19,00;1,00;slight;step;0,00;0,00;2,00;1,00;1,74;68,00;2,00;;;;;;;;;;;;;;;;;;;;;;
1,00;1,00;2,00;1,00;20,00;1,00;presence;table;0,00;0,00;2,00;1,00;1,85;54,00;2,00;;;;;;;;;;;;;;;;;;;;;;
1,00;1,00;2,00;1,00;21,00;1,00;fellow;island;0,00;0,00;2,00;1,00;2,61;3,00;3,00;;;;;;;;;;;;;;;;;;;;;;
1,00;1,00;2,00;1,00;22,00;1,00;high;trees;0,00;0,00;2,00;1,00;2,07;12,00;3,00;;;;;;;;;;;;;;;;;;;;;;
1,00;1,00;2,00;1,00;23,00;1,00;largest;dinner;0,00;0,00;2,00;1,00;3,17;27,00;3,00;;;;;;;;;;;;;;;;;;;;;;
1,00;1,00;2,00;1,00;24,00;1,00;look;arts;0,00;0,00;2,00;0,00;0,97;61,00;3,00;;;;;;;;;;;;;;;;;;;;;;
1,00;1,00;2,00;1,00;25,00;1,00;forms;real;0,00;0,00;1,00;1,00;3,71;94,00;3,00;;;;;;;;;;;;;;;;;;;;;;
1,00;1,00;2,00;1,00;26,00;1,00;fair;payment;0,00;0,00;2,00;1,00;1,96;72,00;3,00;;;;;;;;;;;;;;;;;;;;;;
1,00;1,00;2,00;1,00;27,00;1,00;loose;entirely;0,00;0,00;1,00;1,00;2,18;9,00;3,00;;;;;;;;;;;;;;;;;;;;;;
1,00;1,00;2,00;1,00;28,00;1,00;rates;liberal;0,00;0,00;1,00;1,00;0,86;98,00;3,00;;;;;;;;;;;;;;;;;;;;;;
1,00;1,00;2,00;1,00;29,00;1,00;possibility;check;0,00;0,00;2,00;1,00;4,36;24,00;3,00;;;;;;;;;;;;;;;;;;;;;;
1,00;1,00;2,00;1,00;30,00;1,00;army;captain;0,00;0,00;1,00;1,00;1,30;81,00;3,00;;;;;;;;;;;;;;;;;;;;;;
