"","sub","correct","rt","itemtype"
"1",1,1,2.518,"new"
"2",1,1,1.306,"new"
"3",1,1,1.49,"old"
"4",1,0,1.005,"old"
"5",1,0,1.071,"new"
"6",1,1,0.662,"old"
"7",1,1,0.687,"old"
"8",1,1,0.662,"new"
"9",1,0,0.768,"old"
"10",1,1,0.71,"new"
"11",1,1,0.646,"old"
"12",1,1,1.158,"new"
"13",1,1,0.686,"old"
"14",1,1,0.694,"old"
"15",1,1,0.631,"new"
"16",1,0,0.75,"old"
"17",1,1,0.768,"new"
"18",1,1,0.823,"new"
"19",1,1,0.734,"old"
"20",1,1,0.67,"old"
"21",1,1,0.551,"old"
"22",1,1,0.512,"old"
"23",1,1,0.422,"old"
"24",1,1,0.599,"old"
"25",1,1,0.496,"old"
"26",1,0,0.623,"new"
"27",1,1,0.799,"old"
"28",1,1,0.583,"new"
"29",1,1,0.688,"new"
"30",1,0,0.622,"new"
"31",1,0,1.039,"old"
"32",1,1,1.407,"new"
"33",1,0,0.758,"old"
"34",1,1,0.798,"new"
"35",1,0,0.656,"new"
"36",1,1,0.591,"new"
"37",1,1,0.838,"old"
"38",1,1,0.575,"old"
"39",1,1,0.711,"new"
"40",1,0,0.735,"new"
"41",1,1,0.711,"new"
"42",1,1,0.623,"old"
"43",1,0,1.687,"new"
"44",1,1,0.718,"new"
"45",1,1,0.719,"new"
"46",1,1,0.687,"new"
"47",1,1,0.711,"new"
"48",1,0,1.159,"old"
"49",1,1,0.615,"old"
"50",1,1,0.528,"old"
"51",1,0,1.15,"new"
"52",1,1,0.574,"old"
"53",1,0,1.142,"old"
"54",1,0,0.598,"old"
"55",1,1,0.542,"old"
"56",1,1,0.782,"old"
"57",1,1,0.783,"old"
"58",1,1,0.903,"old"
"59",1,1,0.799,"new"
"60",1,1,0.903,"new"
"61",1,1,0.582,"old"
"62",1,0,0.975,"new"
"63",1,1,0.591,"new"
"64",1,1,0.831,"new"
"65",1,0,0.751,"old"
"66",1,0,0.703,"new"
"67",1,1,0.79,"new"
"68",1,1,0.967,"new"
"69",1,1,0.575,"old"
"70",1,1,0.975,"new"
"71",1,1,0.68,"old"
"72",1,1,0.686,"new"
"73",1,0,0.631,"new"
"74",1,1,0.671,"new"
"75",1,1,0.663,"old"
"76",1,1,0.975,"old"
"77",1,1,0.574,"old"
"78",1,0,0.736,"old"
"79",1,1,0.599,"old"
"80",1,1,0.783,"new"
"81",1,1,1.191,"new"
"82",1,1,0.783,"new"
"83",1,1,0.775,"new"
"84",1,1,0.696,"old"
"85",1,1,0.759,"old"
"86",1,0,1.08,"new"
"87",1,0,1.191,"old"
"88",1,1,0.624,"old"
"89",1,1,1.167,"new"
"90",1,1,1.454,"new"
"91",1,1,1.078,"new"
"92",1,0,0.647,"new"
"93",1,1,0.942,"new"
"94",1,1,0.671,"old"
"95",1,0,0.824,"old"
"96",1,1,1.231,"new"
"97",1,1,0.679,"old"
"98",1,1,0.727,"new"
"99",1,1,0.871,"old"
"100",1,1,0.694,"new"
"101",1,1,0.631,"new"
"102",1,0,0.935,"new"
"103",1,1,0.519,"new"
"104",1,1,0.943,"old"
"105",1,1,0.527,"new"
"106",1,1,0.934,"old"
"107",1,1,0.494,"new"
"108",1,0,0.686,"old"
"109",1,1,1.535,"new"
"110",1,0,0.792,"old"
"111",1,1,0.678,"new"
"112",1,1,0.655,"old"
"113",1,1,0.926,"new"
"114",1,0,0.67,"old"
"115",1,0,0.855,"old"
"116",1,1,1.007,"old"
"117",1,1,0.59,"new"
"118",1,0,0.863,"old"
"119",1,0,0.575,"old"
"120",1,0,0.638,"old"
"121",1,1,0.632,"new"
"122",1,0,1.024,"old"
"123",1,1,0.783,"new"
"124",1,0,0.863,"old"
"125",1,0,0.799,"new"
"126",1,1,0.88,"old"
"127",1,1,0.718,"old"
"128",1,1,0.623,"old"
"129",1,1,0.72,"new"
"130",1,1,0.711,"new"
"131",1,0,0.703,"old"
"132",1,0,1.215,"old"
"133",1,0,1.518,"old"
"134",1,1,0.847,"new"
"135",1,1,0.887,"old"
"136",1,1,0.592,"new"
"137",1,1,0.735,"new"
"138",1,1,0.831,"old"
"139",1,0,0.478,"old"
"140",1,1,0.528,"new"
"141",1,0,0.654,"old"
"142",1,1,0.695,"new"
"143",1,0,0.791,"old"
"144",1,1,0.584,"new"
"145",1,0,0.687,"old"
"146",1,0,0.672,"new"
"147",1,1,0.511,"new"
"148",1,1,0.606,"new"
"149",1,0,0.815,"old"
"150",1,1,0.542,"new"
"151",1,1,2.478,"new"
"152",1,1,0.806,"new"
"153",1,0,0.822,"old"
"154",1,0,0.015,"new"
"155",1,1,1.463,"old"
"156",1,1,0.735,"old"
"157",1,1,0.911,"new"
"158",1,1,0.623,"old"
"159",1,1,1.096,"old"
"160",1,1,0.63,"new"
"161",1,1,0.863,"new"
"162",1,1,0.663,"old"
"163",1,1,0.719,"new"
"164",1,1,0.639,"new"
"165",1,0,0.679,"old"
"166",1,1,0.695,"old"
"167",1,1,0.536,"new"
"168",1,0,0.718,"old"
"169",1,1,1.095,"new"
"170",1,1,0.838,"new"
"171",1,1,0.688,"old"
"172",1,1,0.591,"old"
"173",1,1,0.591,"old"
"174",1,1,0.599,"old"
"175",1,0,0.638,"old"
"176",1,1,0.688,"new"
"177",1,1,0.671,"new"
"178",1,1,1.271,"old"
"179",1,1,0.584,"old"
"180",1,0,0.679,"old"
"181",1,0,0.758,"old"
"182",1,1,0.67,"old"
"183",1,1,0.783,"old"
"184",1,1,0.806,"new"
"185",1,0,0.807,"old"
"186",1,0,0.672,"old"
"187",1,0,0.655,"old"
"188",1,1,0.759,"new"
"189",1,1,0.943,"new"
"190",1,1,0.655,"new"
"191",1,1,0.735,"new"
"192",1,1,0.639,"old"
"193",1,1,0.768,"old"
"194",1,1,0.535,"old"
"195",1,1,0.567,"new"
"196",1,1,0.847,"old"
"197",1,1,0.558,"new"
"198",1,1,0.959,"old"
"199",1,1,0.727,"new"
"200",1,1,0.87,"new"
"201",1,0,0.759,"old"
"202",1,0,0.543,"old"
"203",1,1,0.758,"new"
"204",1,0,0.711,"old"
"205",1,1,0.672,"new"
"206",1,0,0.575,"old"
"207",1,1,0.823,"old"
"208",1,1,0.694,"new"
"209",1,1,0.807,"new"
"210",1,0,0.927,"new"
"211",1,1,0.487,"new"
"212",1,0,0.919,"old"
"213",1,1,0.735,"new"
"214",1,0,0.583,"old"
"215",1,0,0.631,"old"
"216",1,0,0.575,"old"
"217",1,1,0.582,"old"
"218",1,1,0.51,"new"
"219",1,1,0.791,"new"
"220",1,1,0.679,"old"
"221",1,1,0.718,"new"
"222",1,1,1.055,"old"
"223",1,1,0.863,"old"
"224",1,1,0.759,"new"
"225",1,1,0.647,"old"
"226",1,1,0.583,"new"
"227",1,1,0.775,"new"
"228",1,1,0.608,"new"
"229",1,1,0.711,"old"
"230",1,0,0.67,"old"
"231",1,1,0.695,"new"
"232",1,1,0.735,"new"
"233",1,1,1.111,"new"
"234",1,1,0.679,"new"
"235",1,1,0.879,"old"
"236",1,0,0.511,"old"
"237",1,1,0.911,"old"
"238",1,0,0.6,"old"
"239",1,1,0.679,"old"
"240",1,1,0.535,"new"
"241",1,1,0.568,"new"
"242",1,1,0.822,"old"
"243",1,1,0.534,"new"
"244",1,1,0.743,"new"
"245",1,0,0.959,"new"
"246",1,1,0.463,"new"
"247",1,0,0.695,"old"
"248",1,0,0.504,"old"
"249",1,0,0.543,"old"
"250",1,1,0.743,"new"
"251",1,0,0.655,"new"
"252",1,0,0.398,"old"
"253",1,0,0.583,"old"
"254",1,1,0.991,"new"
"255",1,0,1.039,"new"
"256",1,1,0.679,"old"
"257",1,1,0.711,"new"
"258",1,1,0.662,"old"
"259",1,1,0.615,"old"
"260",1,0,0.599,"new"
"261",1,0,0.647,"old"
"262",1,0,0.791,"old"
"263",1,0,0.576,"new"
"264",1,0,0.774,"new"
"265",1,1,0.59,"new"
"266",1,1,0.687,"new"
"267",1,1,0.631,"old"
"268",1,0,0.807,"old"
"269",1,1,0.815,"new"
"270",1,1,0.639,"old"
"271",1,0,0.567,"old"
"272",1,1,0.695,"new"
"273",1,1,0.823,"new"
"274",1,0,0.719,"old"
"275",1,1,0.631,"old"
"276",1,1,0.662,"new"
"277",1,0,0.75,"old"
"278",1,0,1.447,"old"
"279",1,1,0.623,"old"
"280",1,0,1.183,"new"
"281",1,1,0.823,"new"
"282",1,1,0.631,"new"
"283",1,1,0.758,"new"
"284",1,1,0.855,"new"
"285",1,1,0.695,"old"
"286",1,1,0.574,"new"
"287",1,1,0.863,"new"
"288",1,1,0.56,"new"
"289",1,1,0.712,"old"
"290",1,1,0.495,"new"
"291",1,0,0.608,"old"
"292",1,1,0.68,"old"
"293",1,0,0.52,"old"
"294",1,0,1.264,"new"
"295",1,0,0.583,"old"
"296",1,1,0.743,"new"
"297",1,1,0.662,"new"
"298",1,1,0.671,"new"
"299",1,1,0.655,"new"
"300",1,1,1.375,"new"
"301",10,1,3.933,"new"
"302",10,1,1.291,"old"
"303",10,1,0.901,"old"
"304",10,1,0.942,"new"
"305",10,1,0.895,"old"
"306",10,1,0.838,"old"
"307",10,1,0.806,"new"
"308",10,1,1.471,"new"
"309",10,1,1.175,"new"
"310",10,1,1.272,"new"
"311",10,1,0.727,"old"
"312",10,1,1.231,"new"
"313",10,0,1.158,"old"
"314",10,1,1.302,"new"
"315",10,1,1.102,"new"
"316",10,1,1.24,"new"
"317",10,0,1.03,"old"
"318",10,1,0.839,"new"
"319",10,1,0.734,"new"
"320",10,1,0.903,"old"
"321",10,1,0.886,"new"
"322",10,1,0.864,"old"
"323",10,0,1.142,"old"
"324",10,1,0.702,"old"
"325",10,1,0.807,"new"
"326",10,1,1.023,"new"
"327",10,1,0.751,"old"
"328",10,1,1.03,"new"
"329",10,1,0.966,"old"
"330",10,1,0.99,"old"
"331",10,1,0.999,"new"
"332",10,1,0.712,"old"
"333",10,1,0.743,"new"
"334",10,0,1.079,"old"
"335",10,1,1.182,"new"
"336",10,1,0.742,"old"
"337",10,0,0.879,"old"
"338",10,1,0.75,"old"
"339",10,0,0.903,"old"
"340",10,1,0.839,"new"
"341",10,1,1.031,"new"
"342",10,1,0.983,"new"
"343",10,1,0.67,"old"
"344",10,1,0.79,"new"
"345",10,1,0.919,"old"
"346",10,0,0.903,"new"
"347",10,1,0.75,"new"
"348",10,1,1.399,"new"
"349",10,1,1.062,"old"
"350",10,1,0.663,"old"
"351",10,1,0.878,"old"
"352",10,1,1.359,"new"
"353",10,1,1.136,"new"
"354",10,1,1.63,"old"
"355",10,1,0.927,"new"
"356",10,1,0.943,"old"
"357",10,1,0.927,"new"
"358",10,1,1.086,"old"
"359",10,0,0.823,"old"
"360",10,0,0.943,"old"
"361",10,1,0.743,"new"
"362",10,1,0.96,"new"
"363",10,1,0.951,"old"
"364",10,1,0.808,"old"
"365",10,1,0.776,"new"
"366",10,0,1.079,"old"
"367",10,1,0.686,"old"
"368",10,1,0.991,"old"
"369",10,0,1.343,"old"
"370",10,0,1.007,"old"
"371",10,1,0.91,"new"
"372",10,1,0.871,"new"
"373",10,1,0.71,"new"
"374",10,1,1.079,"new"
"375",10,0,1.032,"old"
"376",10,1,1.088,"new"
"377",10,1,1.022,"new"
"378",10,1,0.886,"new"
"379",10,1,0.904,"old"
"380",10,0,0.783,"old"
"381",10,1,0.704,"new"
"382",10,1,0.807,"new"
"383",10,0,0.918,"old"
"384",10,1,0.759,"old"
"385",10,1,0.662,"old"
"386",10,1,0.6,"old"
"387",10,1,1.519,"old"
"388",10,1,1.383,"new"
"389",10,1,0.782,"new"
"390",10,1,0.798,"new"
"391",10,1,0.704,"old"
"392",10,0,1.142,"old"
"393",10,0,0.798,"old"
"394",10,1,1.143,"new"
"395",10,1,0.648,"old"
"396",10,0,0.776,"new"
"397",10,1,1.007,"new"
"398",10,0,0.832,"old"
"399",10,1,1.471,"new"
"400",10,0,0.911,"new"
"401",10,0,0.759,"new"
"402",10,1,0.791,"new"
"403",10,1,0.688,"new"
"404",10,0,0.751,"new"
"405",10,0,0.679,"new"
"406",10,1,0.967,"new"
"407",10,0,0.806,"old"
"408",10,1,0.758,"old"
"409",10,1,0.712,"new"
"410",10,1,0.95,"new"
"411",10,1,0.831,"new"
"412",10,1,0.991,"new"
"413",10,1,0.982,"new"
"414",10,0,1.231,"old"
"415",10,1,0.728,"new"
"416",10,1,0.975,"old"
"417",10,1,0.872,"new"
"418",10,1,0.687,"old"
"419",10,0,0.895,"old"
"420",10,1,1.239,"new"
"421",10,0,1.254,"old"
"422",10,1,0.687,"old"
"423",10,1,0.951,"old"
"424",10,1,1.542,"new"
"425",10,1,0.951,"old"
"426",10,1,0.847,"old"
"427",10,0,1.174,"old"
"428",10,0,2.271,"old"
"429",10,0,0.775,"old"
"430",10,0,0.671,"old"
"431",10,0,0.767,"new"
"432",10,1,0.927,"new"
"433",10,1,0.902,"new"
"434",10,0,0.895,"old"
"435",10,0,1.15,"old"
"436",10,1,0.696,"new"
"437",10,1,0.719,"new"
"438",10,1,0.711,"new"
"439",10,0,1.591,"old"
"440",10,1,0.806,"new"
"441",10,1,1.271,"old"
"442",10,1,0.815,"old"
"443",10,1,1.04,"new"
"444",10,1,0.854,"new"
"445",10,1,0.832,"old"
"446",10,0,0.863,"old"
"447",10,1,1.767,"new"
"448",10,1,0.688,"old"
"449",10,0,2.406,"old"
"450",10,1,0.84,"old"
"451",10,0,2.703,"new"
"452",10,0,3.231,"old"
"453",10,1,1.422,"new"
"454",10,0,0.543,"new"
"455",10,0,0.944,"old"
"456",10,1,0.831,"new"
"457",10,1,0.928,"new"
"458",10,0,1.567,"old"
"459",10,1,0.648,"new"
"460",10,1,0.936,"old"
"461",10,1,0.799,"old"
"462",10,1,0.67,"new"
"463",10,1,1.063,"new"
"464",10,1,0.799,"new"
"465",10,0,1.326,"old"
"466",10,1,0.792,"old"
"467",10,0,0.798,"old"
"468",10,1,0.872,"new"
"469",10,1,0.759,"new"
"470",10,1,0.895,"new"
"471",10,1,0.782,"new"
"472",10,1,0.679,"old"
"473",10,0,1.12,"new"
"474",10,1,0.703,"new"
"475",10,0,0.806,"old"
"476",10,1,0.567,"new"
"477",10,1,0.632,"new"
"478",10,1,0.631,"new"
"479",10,0,0.808,"old"
"480",10,1,0.727,"old"
"481",10,1,1.183,"new"
"482",10,0,0.799,"old"
"483",10,0,0.679,"old"
"484",10,1,0.686,"new"
"485",10,1,0.67,"old"
"486",10,1,0.696,"new"
"487",10,1,0.687,"new"
"488",10,1,0.704,"new"
"489",10,0,0.758,"old"
"490",10,0,0.702,"old"
"491",10,1,0.734,"old"
"492",10,0,0.895,"old"
"493",10,0,0.824,"old"
"494",10,1,0.775,"old"
"495",10,1,0.791,"new"
"496",10,1,0.679,"old"
"497",10,1,0.791,"old"
"498",10,0,0.768,"old"
"499",10,1,2.086,"new"
"500",10,0,0.784,"old"
"501",10,1,0.703,"new"
"502",10,0,0.655,"old"
"503",10,1,0.862,"new"
"504",10,1,0.944,"new"
"505",10,1,0.655,"new"
"506",10,1,0.647,"new"
"507",10,1,0.79,"new"
"508",10,1,1.295,"new"
"509",10,0,0.943,"old"
"510",10,1,0.816,"old"
"511",10,1,0.67,"old"
"512",10,0,0.928,"old"
"513",10,1,0.679,"new"
"514",10,0,1.16,"old"
"515",10,0,0.678,"old"
"516",10,0,1.256,"old"
"517",10,0,0.983,"old"
"518",10,0,0.832,"old"
"519",10,1,0.751,"new"
"520",10,1,0.888,"old"
"521",10,1,0.663,"old"
"522",10,1,0.831,"old"
"523",10,1,1.248,"old"
"524",10,1,1.334,"old"
"525",10,0,1.016,"old"
