SubID;setno;condition;testorder;word;respond;wordtype;answertype;correct;RT;datatype;dataoldnew
201;1;HF;1;FAÄ°Z;k;new;new;1;2.518;lab;eski
201;1;HF;2;CAMÄ°;k;new;new;1;1.306;lab;eski
201;1;HF;3;TOZ;d;old;old;1;Jan 49;lab;eski
201;1;HF;4;RÃœZGÃ‚R;k;old;new;0;1.005;lab;eski
201;1;HF;5;MARKA;d;new;old;0;1.071;lab;eski
201;1;HF;6;CADDE;d;old;old;1;0.662;lab;eski
201;1;HF;7;SANATÃ‡I;d;old;old;1;0.687;lab;eski
201;1;HF;8;GÃœRÃœLTÃœ;k;new;new;1;0.662;lab;eski
201;1;HF;9;MEDYA;k;old;new;0;0.768;lab;eski
201;1;HF;10;ETKEN;k;new;new;1;0.71;lab;eski
201;1;HF;11;KUÅ;d;old;old;1;0.646;lab;eski
201;1;HF;12;SEVÄ°NÃ‡;k;new;new;1;1.158;lab;eski
201;1;HF;13;EKONOMÄ°;d;old;old;1;0.686;lab;eski
201;1;HF;14;LÄ°SE;d;old;old;1;0.694;lab;eski
201;1;HF;15;KAYIP;k;new;new;1;0.631;lab;eski
201;1;HF;16;TEKNE;k;old;new;0;0.75;lab;eski
201;1;HF;17;TEHLÄ°KE;k;new;new;1;0.768;lab;eski
201;1;HF;18;SEBZE;k;new;new;1;0.823;lab;eski
201;1;HF;19;HÄ°ZMET;d;old;old;1;0.734;lab;eski
201;1;HF;20;ARABA;d;old;old;1;0.67;lab;eski
201;1;HF;21;ALT;d;old;old;1;0.551;lab;eski
201;1;HF;22;SERBEST;d;old;old;1;0.512;lab;eski
201;1;HF;23;ASKER;d;old;old;1;0.422;lab;eski
201;1;HF;24;KORKU;d;old;old;1;0.599;lab;eski
201;1;HF;25;KIZ;d;old;old;1;0.496;lab;eski
201;1;HF;26;HATA;d;new;old;0;0.623;lab;eski
201;1;HF;27;TANE;d;old;old;1;0.799;lab;eski
201;1;HF;28;Ä°DEAL;k;new;new;1;0.583;lab;eski
201;1;HF;29;BABA;k;new;new;1;0.688;lab;eski
201;1;HF;30;ANNE;d;new;old;0;0.622;lab;eski
201;1;HF;31;KURAL;k;old;new;0;1.039;lab;eski
201;1;HF;32;UYKU;k;new;new;1;1.407;lab;eski
201;1;HF;33;POLÄ°S;k;old;new;0;0.758;lab;eski
201;1;HF;34;MODA;k;new;new;1;0.798;lab;eski
201;1;HF;35;KAN;d;new;old;0;0.656;lab;eski
201;1;HF;36;OTEL;k;new;new;1;0.591;lab;eski
201;1;HF;37;ÃœCRET;d;old;old;1;0.838;lab;eski
201;1;HF;38;AYAKKABI;d;old;old;1;0.575;lab;eski
201;1;HF;39;FAKS;k;new;new;1;0.711;lab;eski
201;1;HF;40;YARDIM;d;new;old;0;0.735;lab;eski
201;1;HF;41;SAÄLAM;k;new;new;1;0.711;lab;eski
201;1;HF;42;GÃœN;d;old;old;1;0.623;lab;eski
201;1;HF;43;Ã‡Ä°KOLATA;d;new;old;0;1.687;lab;eski
201;1;HF;44;Ã‡ABUK;k;new;new;1;0.718;lab;eski
201;1;HF;45;Ã‡Ä°Ã‡EK;k;new;new;1;0.719;lab;eski
201;1;HF;46;EKRAN;k;new;new;1;0.687;lab;eski
201;1;HF;47;DEDE;k;new;new;1;0.711;lab;eski
201;1;HF;48;PEYNÄ°R;k;old;new;0;1.159;lab;eski
201;1;HF;49;KAS;d;old;old;1;0.615;lab;eski
201;1;HF;50;KIRMIZI;d;old;old;1;0.528;lab;eski
201;1;HF;51;Ã–ÄRENCÄ°;d;new;old;0;Jan 15;lab;eski
201;1;HF;52;EV;d;old;old;1;0.574;lab;eski
201;1;HF;53;PATRON;k;old;new;0;1.142;lab;eski
201;1;HF;54;LOKANTA;k;old;new;0;0.598;lab;eski
201;1;HF;55;AÄ°LE;d;old;old;1;0.542;lab;eski
201;1;HF;56;CÄ°HAZ;d;old;old;1;0.782;lab;eski
201;1;HF;57;SEVGÄ°;d;old;old;1;0.783;lab;eski
201;1;HF;58;DÃœKKÃ‚N;d;old;old;1;0.903;lab;eski
201;1;HF;59;KARAR;k;new;new;1;0.799;lab;eski
201;1;HF;60;MAAÅ;k;new;new;1;0.903;lab;eski
201;1;HF;61;PAY;d;old;old;1;0.582;lab;eski
201;1;HF;62;RADYO;d;new;old;0;0.975;lab;eski
201;1;HF;63;BAYRAM;k;new;new;1;0.591;lab;eski
201;1;HF;64;KIÅ;k;new;new;1;0.831;lab;eski
201;1;HF;65;GÃ–L;k;old;new;0;0.751;lab;eski
201;1;HF;66;ELEKTRÄ°K;d;new;old;0;0.703;lab;eski
201;1;HF;67;DEVLET;k;new;new;1;0.79;lab;eski
201;1;HF;68;SUÃ‡;k;new;new;1;0.967;lab;eski
201;1;HF;69;KADIN;d;old;old;1;0.575;lab;eski
201;1;HF;70;DENÄ°Z;k;new;new;1;0.975;lab;eski
201;1;HF;71;BÃ–LÃœM;d;old;old;1;0.68;lab;eski
201;1;HF;72;ALET;k;new;new;1;0.686;lab;eski
201;1;HF;73;Ä°NANÃ‡;d;new;old;0;0.631;lab;eski
201;1;HF;74;GÄ°YSÄ°;k;new;new;1;0.671;lab;eski
201;1;HF;75;TAHTA;d;old;old;1;0.663;lab;eski
201;1;HF;76;KÄ°TAP;d;old;old;1;0.975;lab;eski
201;1;HF;77;BEYAZ;d;old;old;1;0.574;lab;eski
201;1;HF;78;Ä°NSANLIK;k;old;new;0;0.736;lab;eski
201;1;HF;79;AYNA;d;old;old;1;0.599;lab;eski
201;1;HF;80;REKLÃ‚M;k;new;new;1;0.783;lab;eski
201;1;HF;81;Ã‡ERÃ‡EVE;k;new;new;1;1.191;lab;eski
201;1;HF;82;DUDAK;k;new;new;1;0.783;lab;eski
201;1;HF;83;GÃ–LGE;k;new;new;1;0.775;lab;eski
201;1;HF;84;FOTOÄRAF;d;old;old;1;0.696;lab;eski
201;1;HF;85;NEFES;d;old;old;1;0.759;lab;eski
201;1;HF;86;TATÄ°L;d;new;old;0;01. Aug;lab;eski
201;1;HF;87;HAYAT;k;old;new;0;1.191;lab;eski
201;1;HF;88;KULAK;d;old;old;1;0.624;lab;eski
201;1;HF;89;ALKOL;k;new;new;1;1.167;lab;eski
201;1;HF;90;Ä°LÃ‚Ã‡;k;new;new;1;1.454;lab;eski
201;1;HF;91;HAYVAN;k;new;new;1;1.078;lab;eski
201;1;HF;92;PARA;d;new;old;0;0.647;lab;eski
201;1;HF;93;Ã‡ARE;k;new;new;1;0.942;lab;eski
201;1;HF;94;Ã‡OCUK;d;old;old;1;0.671;lab;eski
201;1;HF;95;ï»¿PÄ°RÄ°NÃ‡;k;old;new;0;0.824;lab;eski
201;1;HF;96;CEVAP;k;new;new;1;1.231;lab;eski
201;1;HF;97;DERÄ°;d;old;old;1;0.679;lab;eski
201;1;HF;98;BÄ°NA;k;new;new;1;0.727;lab;eski
201;1;HF;99;Ã–LÃœ;d;old;old;1;0.871;lab;eski
201;1;HF;100;MEMUR;k;new;new;1;0.694;lab;eski
201;1;HF;101;AHÅAP;k;new;new;1;0.631;lab;eski
201;1;HF;102;Ä°Ã‡KÄ°;d;new;old;0;0.935;lab;eski
201;1;HF;103;SARAY;k;new;new;1;0.519;lab;eski
201;1;HF;104;AKIL;d;old;old;1;0.943;lab;eski
201;1;HF;105;DELÄ°K;k;new;new;1;0.527;lab;eski
201;1;HF;106;MASA;d;old;old;1;0.934;lab;eski
201;1;HF;107;YENÄ°;k;new;new;1;0.494;lab;eski
201;1;HF;108;HASTAHANE;k;old;new;0;0.686;lab;eski
201;1;HF;109;ZAMAN;k;new;new;1;1.535;lab;eski
201;1;HF;110;KÃœLTÃœR;k;old;new;0;0.792;lab;eski
201;1;HF;111;TELEVÄ°ZYON;k;new;new;1;0.678;lab;eski
201;1;HF;112;HUKUK;d;old;old;1;0.655;lab;eski
201;1;HF;113;YALAN;k;new;new;1;0.926;lab;eski
201;1;HF;114;SEVGÄ°LÄ°;k;old;new;0;0.67;lab;eski
201;1;HF;115;YARIM;k;old;new;0;0.855;lab;eski
201;1;HF;116;BELGE;d;old;old;1;1.007;lab;eski
201;1;HF;117;YAVRU;k;new;new;1;0.59;lab;eski
201;1;HF;118;EÅÄ°T;k;old;new;0;0.863;lab;eski
201;1;HF;119;UYARI;k;old;new;0;0.575;lab;eski
201;1;HF;120;VARLIK;k;old;new;0;0.638;lab;eski
201;1;HF;121;MUTLULUK;k;new;new;1;0.632;lab;eski
201;1;HF;122;ALTIN;k;old;new;0;1.024;lab;eski
201;1;HF;123;TÃœKETÄ°M;k;new;new;1;0.783;lab;eski
201;1;HF;124;SÃœT;k;old;new;0;0.863;lab;eski
201;1;HF;125;Ã–LÃœM;d;new;old;0;0.799;lab;eski
201;1;HF;126;TURÄ°ZM;d;old;old;1;0.88;lab;eski
201;1;HF;127;PETROL;d;old;old;1;0.718;lab;eski
201;1;HF;128;Ã–NEM;d;old;old;1;0.623;lab;eski
201;1;HF;129;KUTU;k;new;new;1;0.72;lab;eski
201;1;HF;130;OKUL;k;new;new;1;0.711;lab;eski
201;1;HF;131;SÄ°NEMA;k;old;new;0;0.703;lab;eski
201;1;HF;132;KAPI;k;old;new;0;1.215;lab;eski
201;1;HF;133;MEKTUP;k;old;new;0;1.518;lab;eski
201;1;HF;134;PARMAK;k;new;new;1;0.847;lab;eski
201;1;HF;135;KÃ‚ÄIT;d;old;old;1;0.887;lab;eski
201;1;HF;136;YANGIN;k;new;new;1;0.592;lab;eski
201;1;HF;137;ÅEKER;k;new;new;1;0.735;lab;eski
201;1;HF;138;KOMÅU;d;old;old;1;0.831;lab;eski
201;1;HF;139;UZAK;k;old;new;0;0.478;lab;eski
201;1;HF;140;CÄ°NAYET;k;new;new;1;0.528;lab;eski
201;1;HF;141;BÄ°TKÄ°;k;old;new;0;0.654;lab;eski
201;1;HF;142;SOÄUK;k;new;new;1;0.695;lab;eski
201;1;HF;143;SIKI;k;old;new;0;0.791;lab;eski
201;1;HF;144;BALIK;k;new;new;1;0.584;lab;eski
201;1;HF;145;Ä°ÅARET;k;old;new;0;0.687;lab;eski
201;1;HF;146;UÃ‡AK;d;new;old;0;0.672;lab;eski
201;1;HF;147;YARIÅ;k;new;new;1;0.511;lab;eski
201;1;HF;148;NAMAZ;k;new;new;1;0.606;lab;eski
201;1;HF;149;SÄ°GARA;k;old;new;0;0.815;lab;eski
201;1;HF;150;GEMÄ°;k;new;new;1;0.542;lab;eski
201;2;LF;1;ÅEBEK;k;new;new;1;2.478;lab;eski
201;2;LF;2;PARKE;k;new;new;1;0.806;lab;eski
201;2;LF;3;YOGA;k;old;new;0;0.822;lab;eski
201;2;LF;4;Ã‡Ä°Ã‡EKÃ‡Ä°;d;new;old;0;0.015;lab;eski
201;2;LF;5;PAPATYA;d;old;old;1;1.463;lab;eski
201;2;LF;6;ÅAMATA;d;old;old;1;0.735;lab;eski
201;2;LF;7;KÄ°MYON;k;new;new;1;0.911;lab;eski
201;2;LF;8;ESÄ°NTÄ°;d;old;old;1;0.623;lab;eski
201;2;LF;9;MAYTAP;d;old;old;1;1.096;lab;eski
201;2;LF;10;SESTEÅ;k;new;new;1;0.63;lab;eski
201;2;LF;11;PIHTI;k;new;new;1;0.863;lab;eski
201;2;LF;12;SÃœRESÄ°Z;d;old;old;1;0.663;lab;eski
201;2;LF;13;MÃœFTÃœLÃœK;k;new;new;1;0.719;lab;eski
201;2;LF;14;SÄ°CÄ°L;k;new;new;1;0.639;lab;eski
201;2;LF;15;OYNAÅ;k;old;new;0;0.679;lab;eski
201;2;LF;16;BÄ°LÄ°MCÄ°;d;old;old;1;0.695;lab;eski
201;2;LF;17;SULAK;k;new;new;1;0.536;lab;eski
201;2;LF;18;HAÅARI;k;old;new;0;0.718;lab;eski
201;2;LF;19;SÃœLÃœN;k;new;new;1;1.095;lab;eski
201;2;LF;20;CANSIZ;k;new;new;1;0.838;lab;eski
201;2;LF;21;MISRA;d;old;old;1;0.688;lab;eski
201;2;LF;22;ï»¿PATÄ°K;d;old;old;1;0.591;lab;eski
201;2;LF;23;YONCA;d;old;old;1;0.591;lab;eski
201;2;LF;24;POMAT;d;old;old;1;0.599;lab;eski
201;2;LF;25;SARP;k;old;new;0;0.638;lab;eski
201;2;LF;26;ÃœLSER;k;new;new;1;0.688;lab;eski
201;2;LF;27;ÃœMÄ°TLÄ°;k;new;new;1;0.671;lab;eski
201;2;LF;28;GÄ°RÄ°FT;d;old;old;1;1.271;lab;eski
201;2;LF;29;MAÄARA;d;old;old;1;0.584;lab;eski
201;2;LF;30;KANCA;k;old;new;0;0.679;lab;eski
201;2;LF;31;ÅEFFAF;k;old;new;0;0.758;lab;eski
201;2;LF;32;ENERJÄ°K;d;old;old;1;0.67;lab;eski
201;2;LF;33;KAYGAN;d;old;old;1;0.783;lab;eski
201;2;LF;34;SÃœNGÃœ;k;new;new;1;0.806;lab;eski
201;2;LF;35;ÃœTOPYA;k;old;new;0;0.807;lab;eski
201;2;LF;36;UÃ‡UÅ;k;old;new;0;0.672;lab;eski
201;2;LF;37;PUSU;k;old;new;0;0.655;lab;eski
201;2;LF;38;BAÄNAZ;k;new;new;1;0.759;lab;eski
201;2;LF;39;SÃ–RF;k;new;new;1;0.943;lab;eski
201;2;LF;40;RÃ–FLE;k;new;new;1;0.655;lab;eski
201;2;LF;41;PEÅÄ°NATSIZ;k;new;new;1;0.735;lab;eski
201;2;LF;42;ANTEN;d;old;old;1;0.639;lab;eski
201;2;LF;43;BÃœYÃœ;d;old;old;1;0.768;lab;eski
201;2;LF;44;SEVAP;d;old;old;1;0.535;lab;eski
201;2;LF;45;KAPÃœÅON;k;new;new;1;0.567;lab;eski
201;2;LF;46;SAZLIK;d;old;old;1;0.847;lab;eski
201;2;LF;47;Ã–ÄLEN;k;new;new;1;0.558;lab;eski
201;2;LF;48;BUNALTI;d;old;old;1;0.959;lab;eski
201;2;LF;49;MÃœÅFÄ°K;k;new;new;1;0.727;lab;eski
201;2;LF;50;YAÄCILIK;k;new;new;1;0.87;lab;eski
201;2;LF;51;KAHPE;k;old;new;0;0.759;lab;eski
201;2;LF;52;YALI;k;old;new;0;0.543;lab;eski
201;2;LF;53;ÅALTER;k;new;new;1;0.758;lab;eski
201;2;LF;54;Ä°ÅLEMCÄ°;k;old;new;0;0.711;lab;eski
201;2;LF;55;KAYISI;k;new;new;1;0.672;lab;eski
201;2;LF;56;ZILGIT;k;old;new;0;0.575;lab;eski
201;2;LF;57;SEMER;d;old;old;1;0.823;lab;eski
201;2;LF;58;YATSI;k;new;new;1;0.694;lab;eski
201;2;LF;59;KÃœLHAN;k;new;new;1;0.807;lab;eski
201;2;LF;60;DUYGULU;d;new;old;0;0.927;lab;eski
201;2;LF;61;CILK;k;new;new;1;0.487;lab;eski
201;2;LF;62;ATLETÄ°K;k;old;new;0;0.919;lab;eski
201;2;LF;63;NOKSAN;k;new;new;1;0.735;lab;eski
201;2;LF;64;ALIÅKIN;k;old;new;0;0.583;lab;eski
201;2;LF;65;DÄ°ZGÄ°N;k;old;new;0;0.631;lab;eski
201;2;LF;66;FÄ°NCAN;k;old;new;0;0.575;lab;eski
201;2;LF;67;KASNAK;d;old;old;1;0.582;lab;eski
201;2;LF;68;TORTUL;k;new;new;1;0.51;lab;eski
201;2;LF;69;GICIRTI;k;new;new;1;0.791;lab;eski
201;2;LF;70;ALINTI;d;old;old;1;0.679;lab;eski
201;2;LF;71;ELEM;k;new;new;1;0.718;lab;eski
201;2;LF;72;SOLO;d;old;old;1;1.055;lab;eski
201;2;LF;73;ÃœÅENGEÃ‡;d;old;old;1;0.863;lab;eski
201;2;LF;74;ISLIK;k;new;new;1;0.759;lab;eski
