"","sub","condition","type","old","response","correct","time"
"321",1050,"hehe","hetero",1,1,1,6797
"322",1050,"hehe","hetero",2,2,1,2281
"323",1050,"hehe","hetero",2,2,1,1203
"324",1050,"hehe","hetero",2,2,1,2313
"325",1050,"hehe","hetero",1,1,1,1829
"326",1050,"hehe","hetero",2,2,1,2813
"327",1050,"hehe","hetero",2,2,1,1516
"328",1050,"hehe","hetero",2,2,1,1500
"329",1050,"hehe","hetero",2,1,0,3188
"330",1050,"hehe","hetero",2,2,1,1860
"331",1050,"hehe","hetero",1,2,0,5391
"332",1050,"hehe","hetero",2,2,1,3500
"333",1050,"hehe","hetero",1,1,1,2312
"334",1050,"hehe","hetero",1,1,1,984
"335",1050,"hehe","hetero",1,1,1,1531
"336",1050,"hehe","hetero",2,2,1,969
"337",1050,"hehe","hetero",1,1,1,1922
"338",1050,"hehe","hetero",2,2,1,5672
"339",1050,"hehe","hetero",1,2,0,2657
"340",1050,"hehe","hetero",2,2,1,2032
"341",1050,"hehe","hetero",2,1,0,2281
"342",1050,"hehe","hetero",1,1,1,1953
"343",1050,"hehe","hetero",2,2,1,1250
"344",1050,"hehe","hetero",2,2,1,2532
"345",1050,"hehe","hetero",2,2,1,2407
"346",1050,"hehe","hetero",2,2,1,828
"347",1050,"hehe","hetero",2,2,1,1422
"348",1050,"hehe","hetero",1,1,1,1954
"349",1050,"hehe","hetero",1,1,1,1860
"350",1050,"hehe","hetero",1,1,1,3656
"351",1050,"hehe","hetero",1,1,1,2562
"352",1050,"hehe","hetero",1,2,0,8187
"353",1050,"hehe","hetero",2,2,1,3437
"354",1050,"hehe","hetero",2,2,1,1859
"355",1050,"hehe","hetero",2,2,1,2391
"356",1050,"hehe","hetero",1,1,1,1578
"357",1050,"hehe","hetero",2,2,1,938
"358",1050,"hehe","hetero",1,1,1,2531
"359",1050,"hehe","hetero",2,2,1,1719
"360",1050,"hehe","hetero",1,1,1,1375
"361",1050,"hehe","hetero",1,1,1,1859
"362",1050,"hehe","hetero",1,1,1,1609
"363",1050,"hehe","hetero",2,1,0,3063
"364",1050,"hehe","hetero",2,2,1,2781
