code,age,sex,subject,rand,condition,type,block,posInTest,posInLearn,leftPic,rightPic,oldPic,time,answer,correct
10395,20,m,Psychologie,1,heho,hetero,1,1,123,008-Bild-007.jpg,107-Bild-106.jpg,1,2516,2,0
10395,20,m,Psychologie,1,heho,hetero,1,2,94,056-Bild-055.jpg,093-Bild-092.jpg,2,2797,2,1
10395,20,m,Psychologie,1,heho,hetero,1,3,90,011-Bild-010.jpg,128-Bild-127.jpg,2,1953,2,1
10395,20,m,Psychologie,1,heho,hetero,1,4,122,136-Bild-135.jpg,033-Bild-032.jpg,2,1296,2,1
10395,20,m,Psychologie,1,heho,hetero,1,5,15,181-Bild-180.jpg,158-Bild-157.jpg,1,969,1,1
10395,20,m,Psychologie,1,heho,hetero,1,6,125,058-Bild-057.jpg,118-Bild-117.jpg,1,2563,1,1
10395,20,m,Psychologie,1,heho,hetero,1,7,108,038-Bild-037.jpg,084-Bild-083.jpg,1,1375,1,1
10395,20,m,Psychologie,1,heho,hetero,1,8,120,103-Bild-102.jpg,042-Bild-041.jpg,2,2360,2,1
10395,20,m,Psychologie,1,heho,hetero,1,9,130,007-Bild-006.jpg,044-Bild-043.jpg,1,1406,1,1
10395,20,m,Psychologie,1,heho,hetero,1,10,129,047-Bild-046.jpg,072-Bild-071.jpg,1,1563,1,1
10395,20,m,Psychologie,1,heho,hetero,1,11,30,067-Bild-066.jpg,139-Bild-138.jpg,2,1578,2,1
10395,20,m,Psychologie,1,heho,hetero,1,12,51,161-Bild-160.jpg,017-Bild-016.jpg,1,2344,1,1
10395,20,m,Psychologie,1,heho,hetero,1,13,102,088-Bild-087.jpg,135-Bild-134.jpg,1,2000,1,1
10395,20,m,Psychologie,1,heho,hetero,1,14,88,051-Bild-050.jpg,026-Bild-025.jpg,2,1375,2,1
10395,20,m,Psychologie,1,heho,hetero,1,15,105,073-Bild-072.jpg,153-Bild-152.jpg,2,1453,2,1
10395,20,m,Psychologie,1,heho,hetero,1,16,154,129-Bild-128.jpg,024-Bild-023.jpg,2,1453,2,1
10395,20,m,Psychologie,1,heho,hetero,1,17,157,097-Bild-096.jpg,087-Bild-086.jpg,1,1797,2,0
10395,20,m,Psychologie,1,heho,hetero,1,18,111,177-Bild-176.jpg,003-Bild-002.jpg,2,1922,1,0
10395,20,m,Psychologie,1,heho,hetero,1,19,85,170-Bild-169.jpg,040-Bild-039.jpg,2,953,2,1
10395,20,m,Psychologie,1,heho,hetero,1,20,6,138-Bild-137.jpg,071-Bild-070.jpg,1,1532,1,1
10395,20,m,Psychologie,1,heho,hetero,1,21,96,124-Bild-123.jpg,034-Bild-033.jpg,2,1641,2,1
